Repo,File Path,Additions,Deletions,Total Changes,File Changes
Fliegende-Rehe/DSD,.gitignore,1227,21,1248,20
Fliegende-Rehe/DSD,01_combinational_logic/01_01_mux_question.sv,1286,25,1311,23
Fliegende-Rehe/DSD,01_combinational_logic/01_02_mux_if.sv,1290,27,1317,26
Fliegende-Rehe/DSD,01_combinational_logic/01_03_mux_case.sv,1290,27,1317,26
Fliegende-Rehe/DSD,01_combinational_logic/01_04_mux_index.sv,1286,25,1311,23
Fliegende-Rehe/DSD,01_combinational_logic/01_05_mux_gates.sv,1286,25,1311,23
Fliegende-Rehe/DSD,01_combinational_logic/01_06_mux_2n_using_muxes_n.sv,1286,25,1311,23
Fliegende-Rehe/DSD,01_combinational_logic/01_07_mux_using_narrow_data_muxes.sv,1226,0,1226,17
Fliegende-Rehe/DSD,01_combinational_logic/01_08_not_gate_using_mux.sv,1226,0,1226,17
Fliegende-Rehe/DSD,01_combinational_logic/01_09_and_gate_using_mux.sv,1226,0,1226,17
Fliegende-Rehe/DSD,01_combinational_logic/01_10_or_gate_using_mux.sv,1226,0,1226,17
Fliegende-Rehe/DSD,01_combinational_logic/01_11_xor_gate_using_mux.sv,1226,0,1226,17
Fliegende-Rehe/DSD,01_combinational_logic/expected_log.txt,1230,2,1232,20
Fliegende-Rehe/DSD,01_combinational_logic/log.txt,1139,1,1140,13
Fliegende-Rehe/DSD,01_combinational_logic/run_all_using_iverilog_under_linux_or_macos_brew.sh,3097,43,3140,43
Fliegende-Rehe/DSD,01_combinational_logic/run_all_using_iverilog_under_windows.bat,1226,0,1226,17
Fliegende-Rehe/DSD,01_combinational_logic/solution.zip,1947,43,1990,28
Fliegende-Rehe/DSD,02_sequential_basics/02_01_edge_and_pulse_detection.sv,1063,1,1064,11
Fliegende-Rehe/DSD,02_sequential_basics/02_02_single_and_double_rate_fibonacci.sv,1063,1,1064,11
Fliegende-Rehe/DSD,02_sequential_basics/02_03_serial_adder_using_logic_operations_only.sv,1063,1,1064,11
Fliegende-Rehe/DSD,02_sequential_basics/02_04_serial_adder_with_vld.sv,1063,1,1064,11
Fliegende-Rehe/DSD,02_sequential_basics/02_05_serial_comparator_most_significant_first.sv,1063,1,1064,11
Fliegende-Rehe/DSD,02_sequential_basics/02_06_serial_comparator_most_significant_first_using_fsm.sv,1063,1,1064,11
Fliegende-Rehe/DSD,02_sequential_basics/expected_log.txt,1063,1,1064,11
Fliegende-Rehe/DSD,02_sequential_basics/log.txt,1063,1,1064,11
Fliegende-Rehe/DSD,02_sequential_basics/run_all_using_iverilog_under_linux_or_macos_brew.sh,2934,44,2978,37
Fliegende-Rehe/DSD,02_sequential_basics/run_all_using_iverilog_under_windows.bat,1063,1,1064,11
Fliegende-Rehe/DSD,03_finite_state_machines/03_01_detect_sequence_using_fsm.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_02_detect_sequence_using_shift_reg.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_03_serial_divisibility_using_fsm.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/black_boxes/isqrt.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/black_boxes/isqrt_slice_comb.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/black_boxes/isqrt_slice_reg.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_1_fn.svh,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_1_impl_1_fsm.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_1_impl_1_fsm_style_2.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_1_impl_1_top.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_1_impl_2_fsm.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_1_impl_2_top.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_2_fn.svh,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_2_fsm.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/formula_2_top.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/log.txt,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/run_all_using_iverilog_under_windows.bat,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/testbenches/formula_tb.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/testbenches/isqrt_fn.svh,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/03_04_sqrt_formula_fsms/testbenches/tb.sv,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/log.txt,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/run_all_using_iverilog_under_windows.bat,1871,43,1914,26
Fliegende-Rehe/DSD,03_finite_state_machines/Практическое Задание 3.md,1871,43,1914,26
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_01_signed_add_with_overflow.sv,2929,280,3209,30
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_02_signed_add_with_saturation.sv,3001,1347,4348,37
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/04_03_06_sqrt_formula_pipe.rar,1736,1164,2900,14
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/04_03_formula_1_pipe.sv,4593,377,4970,37
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/04_04_formula_1_pipe_aware_fsm.sv,4593,377,4970,37
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/04_05_shift_register_with_valid.sv,8707,1853,10560,43
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/04_06_formula_2_pipe.sv,8548,172,8720,34
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/black_boxes/isqrt.sv,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/black_boxes/isqrt_slice_comb.sv,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/black_boxes/isqrt_slice_reg.sv,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/formula_1_fn.svh,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/formula_1_pipe_aware_fsm_top.sv,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/formula_2_fn.svh,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/gtkwave.tcl,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/log.txt,8779,2920,11699,50
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/run_all_using_iverilog_under_linux_or_macos_brew.sh,2873,1099,3972,31
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/run_all_using_iverilog_under_windows.bat,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/testbenches/formula_tb.sv,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/testbenches/isqrt_fn.svh,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/testbenches/shift_register_with_valid_tb.sv,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/04_03_06_sqrt_formula_pipe/testbenches/tb.sv,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/expected_log.txt,2801,32,2833,24
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/log.txt,2904,2532,5436,34
Fliegende-Rehe/DSD,04_arithmetics_and_pipelining/run_all_using_iverilog_under_windows.bat,2801,32,2833,24
Fliegende-Rehe/DSD,LICENSE,24,21,45,5
Fliegende-Rehe/DSD,README.md,2970,1162,4132,37
Fliegende-Rehe/DSD,README.pdf,1,21,22,4
Fliegende-Rehe/DSD,doc/isqrt.pdf,1736,1164,2900,14
Fliegende-Rehe/DSD,prepare_public_package.bash,1226,188,1414,18
Fliegende-Rehe/DSD,КЛИКНИ_МЕНЯ.html,1298,64,1362,20
Fliegende-Rehe/OS,.gitblah-kFYi.swp,2620,0,2620,95
Fliegende-Rehe/OS,.idea/.gitignore,30,30,60,8
Fliegende-Rehe/OS,.idea/F22_OperSys.iml,2650,197,2847,106
Fliegende-Rehe/OS,.idea/modules.xml,2650,197,2847,106
Fliegende-Rehe/OS,.idea/vcs.xml,2650,197,2847,106
Fliegende-Rehe/OS,.idea/workspace.xml,2620,167,2787,98
Fliegende-Rehe/OS,README.md,2,2,4,2
Fliegende-Rehe/OS,week01/file.txt,2620,0,2620,94
Fliegende-Rehe/OS,week1/Home/home.txt,47,0,47,3
Fliegende-Rehe/OS,week1/Root/root.txt,47,0,47,3
Fliegende-Rehe/OS,week1/Week 01 - Lab.pdf,2620,0,2620,94
Fliegende-Rehe/OS,week1/ex1.sh,102,0,102,4
Fliegende-Rehe/OS,week1/ex1.txt,102,0,102,4
Fliegende-Rehe/OS,week1/ex2.sh,102,0,102,4
Fliegende-Rehe/OS,week1/ex2.txt,102,0,102,4
Fliegende-Rehe/OS,week1/ex3.sh,47,0,47,3
Fliegende-Rehe/OS,week1/ex4,5,0,5,2
Fliegende-Rehe/OS,week1/main.c,5,0,5,2
Fliegende-Rehe/OS,week10/.idea/.gitignore,2620,0,2620,94
Fliegende-Rehe/OS,week10/.idea/misc.xml,2620,0,2620,94
Fliegende-Rehe/OS,week10/.idea/modules.xml,2620,0,2620,94
Fliegende-Rehe/OS,week10/.idea/vcs.xml,2620,0,2620,94
Fliegende-Rehe/OS,week10/.idea/week10.iml,2620,0,2620,94
Fliegende-Rehe/OS,week10/Week 10 - Lab.pdf,2620,0,2620,94
Fliegende-Rehe/OS,week10/_ex1.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/_ex1_1.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/_ex1_2.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/_ex2.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/_ex3.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeCache.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/3.16.3/CMakeCCompiler.cmake,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/3.16.3/CMakeDetermineCompilerABI_C.bin,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/3.16.3/CMakeSystem.cmake,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/3.16.3/CompilerIdC/CMakeCCompilerId.c,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/3.16.3/CompilerIdC/a.out,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/CMakeDirectoryInformation.cmake,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/CMakeOutput.log,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/Makefile.cmake,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/Makefile2,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/TargetDirectories.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/clion-environment.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/clion-log.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/cmake.check_cache,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/progress.marks,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/week5.dir/DependInfo.cmake,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/week5.dir/build.make,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/week5.dir/cmake_clean.cmake,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/week5.dir/depend.make,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/week5.dir/flags.make,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/week5.dir/link.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/CMakeFiles/week5.dir/progress.make,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/Makefile,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/Testing/Temporary/LastTest.log,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/cmake_install.cmake,2620,0,2620,94
Fliegende-Rehe/OS,week10/cmake-build-debug/week10.cbp,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex1.sh,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex1.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex2.sh,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex2.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex3.sh,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex3.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex4,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex4.c,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex4.sh,2620,0,2620,94
Fliegende-Rehe/OS,week10/ex4.txt,2620,0,2620,94
Fliegende-Rehe/OS,week10/tmp/file1,2620,0,2620,94
Fliegende-Rehe/OS,week10/tmp/file2,2620,0,2620,94
Fliegende-Rehe/OS,week10/tmp/link1,2620,0,2620,94
Fliegende-Rehe/OS,week2/Week 02 - Lab.pdf,2620,0,2620,94
Fliegende-Rehe/OS,week2/ex1,55,3,58,12
Fliegende-Rehe/OS,week2/ex1.c,148,32,180,23
Fliegende-Rehe/OS,week2/ex1.sh,26,0,26,10
Fliegende-Rehe/OS,week2/ex2,110,31,141,20
Fliegende-Rehe/OS,week2/ex2.c,140,32,172,27
Fliegende-Rehe/OS,week2/ex2.sh,26,0,26,10
Fliegende-Rehe/OS,week2/ex3,99,31,130,15
Fliegende-Rehe/OS,week2/ex3.c,129,32,161,22
Fliegende-Rehe/OS,week2/ex3.sh,59,3,62,12
Fliegende-Rehe/OS,week2/ex4,85,29,114,15
Fliegende-Rehe/OS,week2/ex4.c,85,29,114,15
Fliegende-Rehe/OS,week2/ex4.sh,70,28,98,13
Fliegende-Rehe/OS,week2/ex5.c,30,1,31,7
Fliegende-Rehe/OS,week2/ex5.sh,45,1,46,12
Fliegende-Rehe/OS,week3/Week 03 - Lab.pdf,2620,0,2620,94
Fliegende-Rehe/OS,week3/ex1,47,7,54,9
Fliegende-Rehe/OS,week3/ex1.c,96,12,108,12
Fliegende-Rehe/OS,week3/ex1.sh,47,10,57,9
